category;text
Chandler;All right Joey, be nice. So does he have a hump? A hump and a hairpiece?
Chandler;Sounds like a date to me.
Chandler;Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.
Chandler;Then I look down, and I realize there's a phone... there.
Chandler;That's right.
Chandler;All of a sudden, the phone starts to ring. Now I don't know what to do, everybody starts looking at me.
Chandler;Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!
Chandler;Cookie?
Chandler;Sometimes I wish I was a lesbian... (They all stare at him.) Did I say that out loud?
Chandler;And I just want a million dollars! (He extends his hand hopefully.)
Chandler;(imitating the characters) Tuna or egg salad? Decide!
Chandler;(re TV) Ooh, she should not be wearing those pants.
Chandler;Please don't do that again, it's a horrible sound.
Chandler;Ooh, this is a Dear Diary moment.
Chandler;I'm sorry, I didn't catch your name. Paul, was it?
Chandler;(deadpan) Yes, and we're very excited about it.
Chandler;It's a beautiful thing.
Chandler;I would have to say that is an 'L'-shaped bracket.
Chandler;I have no idea.
Chandler;All finished!
Chandler;Yes, please don't spoil all this fun.
Chandler;Oh, God.
Chandler;Oh my God!
Chandler;You must stop! (Chandler hits what he is working on with a hammer and it collapses.)
Chandler;Look, Ross, you gotta understand, between us we haven't had a relationship that has lasted longer than a Mento. You, however have had the love of a woman for four years. Four years of closeness and sharing at the end of which she ripped your heart out, and that is why we don't do it! I don't think that was my point!
Chandler;Stay out of my freezer!Scene: A Restaurant, Monica and Paul are still eating.]
Chandler;Angela's the screamer, Andrea has cats.
Chandler;That is amazing.
Chandler;If can invade Poland, there isn't anything I can't do.
Chandler;Hi, Paul, is it?
Chandler;All right, kids, I gotta get to work. If I don't input those numbers,... it doesn't make much of a difference...
Chandler;'Look, Gippetto, I'm a real live boy.'
Chandler;"You're right, I'm sorry. (Burst into song and dances out of the door.) ""Once I was a wooden boy, a little wooden boy..."""
Chandler;And yet you're surprisingly upbeat.
Chandler;Oh, how well you know me...
Chandler;(as Rachel is cutting up her cards) Y'know, if you listen closely, you can hear a thousand retailers scream.
Chandler;Did you make it, or are you just serving it?
Chandler;Kids, new dream... I'm in Las Vegas. (Rachel sits down to hear Chandler's dream.)
Chandler;Okay, so, I'm in Las Vegas... I'm Liza Minelli-
Chandler;Yeah, I think for us, kissing is pretty much like an opening act, y'know? I mean it's like the stand-up comedian you have to sit through before Pink Floyd comes out.
Chandler;The problem is, though, after the concert's over, no matter how great the show was, you girls are always looking for the comedian again, y'know? I mean, we're in the car, we're fighting traffic... basically just trying to stay awake.
Chandler;Oh, I think this is the episode of Three's Company where there's some kind of misunderstanding.
Chandler;Oh, uh, that would be mine. See, I wrote a note to myself, and then I realised I didn't need it, so I balled it up and... (sees that Monica is glaring at him) ...now I wish I was dead.
Chandler;Yes, and we all know how cruel a parent can be about the flatness of a child's pillow.
Chandler;(looking out the window) Ew, ew, ew, ew ew ew ew ew!
Chandler;Ugly Naked Guy got a Thighmaster!
Chandler;You don't get a lot of 'doy' these days...
Chandler;...Dinah?
Chandler;Now, Monica, you know that's not how you look for an engagement ring in a lasagne...
Chandler;Boys? We're going in.
Chandler;Kinda puts that whole pillow thing in perspective, huh, Mon?
Chandler;I mean presumably, the biggest part of your job is done.
Chandler;What does she do?
Chandler;Well, no, although I did have an imaginary friend, who... my parents actually preferred.
Chandler;I dunno, but.. I think it's about to attack the Enterprise.
Chandler;Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.
Chandler;Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.
Chandler;So how does it feel knowing you're about to die?
Chandler;Hey, that was really good!
Chandler;"Okay. ""So. Whaddya want from me, Damone, huh?"""
Chandler;Smoke away.
Chandler;I think this is probably why Damone smokes in his cell alone.
Chandler;Relax your hand!
Chandler;Not so much!
Chandler;Hey!
Chandler;Alright, now try taking a puff.
Chandler;Alright.. okay. No. Give it to me.
